id,deviceId,deviceName,deviceConfigSlaveId,templateVariableId,organizationId,organizationName,name,displayName,unit,currentValue,lastUpdatedAt,isActive,deviceStatus
127fd0e0-01d0-5cb8-995f-cd4dfdb8e89e,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,80b8e3c4-f2a3-ad03-21c3-37f6f1bef96e,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,Voltage Phase A,V,228.78,2026-08-06T09:56:24.000Z,true,ONLINE
5b85a39e-0065-1df9-9eb7-954c793b4a42,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,0300bbe8-cd7b-459f-f739-53b15fa9f108,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageB,Voltage Phase B,V,227.59,2026-08-06T09:56:24.000Z,true,ONLINE
96359c4f-a17f-14fc-f3f9-1caff50df5e5,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,34f98acf-005d-729a-a061-64f0c206b9ab,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageC,Voltage Phase C,V,230.17,2026-08-06T09:56:24.000Z,true,ONLINE
20830bff-4b7d-6b99-5604-822d9bb83781,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,9b3202f4-a929-1c9f-85f8-d83afd917313,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,CurrentA,Current Phase A,A,20.7,2026-08-06T09:56:24.000Z,true,ONLINE
998547ad-127e-93a1-ec94-24dc06c99718,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,4ed3442d-d8ec-a69b-95aa-b7ab36a1b349,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,CurrentB,Current Phase B,A,21.04,2026-08-06T09:56:24.000Z,true,ONLINE
17bfe4d3-c7c2-b256-7d73-90a266f9ec99,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,18633cad-0cc2-d97c-5908-20baa242ac30,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,CurrentC,Current Phase C,A,20.27,2026-08-06T09:56:24.000Z,true,ONLINE
dcf418ee-d637-e587-c49c-a985da0af123,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,4bd39f59-529d-047e-90c3-b01bf2255793,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ActivePower,Active Power,kW,4.63,2026-08-06T09:56:24.000Z,true,ONLINE
4b449722-1bbd-fcac-2b30-a30098f60318,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,365669b3-99e9-74e8-2d4e-9b048ea31791,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ReactivePower,Reactive Power,kVar,2.05,2026-08-06T09:56:24.000Z,true,ONLINE
6d0fcfcb-6bad-97df-4faa-c616ab8ea7b7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,36091dfc-a9e2-425c-10e5-e00b4c591f8d,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ApparentPower,Apparent Power,kVA,5.6,2026-08-06T09:56:24.000Z,true,ONLINE
3cb64f8a-c94f-eeb1-35f0-c5ffb15165a1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,3a8b1634-4902-b66b-17b1-2855d7fafc5e,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerConsumption,Energy Consumption,kWh,8.7,2026-08-06T09:56:24.000Z,true,ONLINE
7792cccd-2355-c137-a898-a1c9f88ccc25,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,e641d2dd-28fe-758b-9029-5d158d840eef,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ExportPower,Export Energy,kWh,3.7,2026-08-06T09:56:24.000Z,true,ONLINE
a5791275-b976-04b0-db79-6cc603322633,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,58f92e52-f1a8-5edc-1532-d07eb351baa1,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerFactor,Power Factor,ratio,0.85,2026-08-06T09:56:24.000Z,true,ONLINE
0980f839-4238-035c-42f7-daf01fd6f5ab,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,aaed21d3-15cd-be02-8ab0-f1402c64df1e,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,Frequency,Frequency,Hz,49.98,2026-08-06T09:56:24.000Z,true,ONLINE
f0a1b5a2-e5b9-a18f-c6ef-ccf581c73fa2,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,976743b1-aab6-1132-1dcb-f76d25b0ce99,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageImbalance,Voltage Imbalance,%,2.08,2026-08-06T09:56:24.000Z,true,ONLINE
