id,name,gatewayId,gatewayName,organizationId,organizationName,templateId,templateName,switchState,status,lastDataReceivedAt,createdAt,updatedAt
a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,ON,ONLINE,2026-08-06T09:57:00.000Z,2026-06-22T10:00:00.000Z,2026-08-06T09:57:00.000Z
ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,ON,ONLINE,2026-08-06T09:54:00.000Z,2026-06-23T10:00:00.000Z,2026-08-06T09:54:00.000Z
50721269-e628-a519-53b1-711cf83e4517,Energy Meter 003,2c1ca84f-a168-c694-ad96-9d6b1660aaf6,Building B Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,OFF,ONLINE,2026-08-06T09:51:00.000Z,2026-06-24T10:00:00.000Z,2026-08-06T09:51:00.000Z
0d2db7e0-e983-f028-eb93-08da6e8c362c,Energy Meter 004,2c1ca84f-a168-c694-ad96-9d6b1660aaf6,Building B Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,OFF,OFFLINE,2026-08-05T08:00:00.000Z,2026-06-25T10:00:00.000Z,2026-08-05T08:00:00.000Z
e2d4bff1-5241-8f08-bb25-702cef45696c,Energy Meter 005,a0880e2f-1cb1-3faf-e0a5-891dd53c965b,Parking Lot Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,OFF,OFFLINE,2026-08-05T14:00:00.000Z,2026-06-26T10:00:00.000Z,2026-08-05T14:00:00.000Z
1f760f66-0ee2-5f4c-2f8f-7c6c3da709c3,HVAC Meter North,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1a6f1dc1-077a-0367-1ba8-df68df8bb4ce,Agritech Energy Monitor,ON,ONLINE,2026-08-06T09:55:12.000Z,2026-06-27T10:00:00.000Z,2026-08-06T09:55:12.000Z
5740cbe5-bac2-1d22-7f9c-e298a8ffc9b8,Press Line Meter A,cf509e1d-bc37-459d-d5cb-3bec109e626b,Line 1 Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,ON,ONLINE,2026-08-06T09:58:48.000Z,2026-06-28T10:00:00.000Z,2026-08-06T09:58:48.000Z
91311ab0-8211-0ab2-8073-871b4d42ee7e,Press Line Meter B,cf509e1d-bc37-459d-d5cb-3bec109e626b,Line 1 Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,ON,ONLINE,2026-08-06T09:57:36.000Z,2026-06-29T10:00:00.000Z,2026-08-06T09:57:36.000Z
440e66a4-0438-0f8d-e300-f686285fe89e,Compressor Bank Meter,c9fd1c37-c42b-7e45-7bc4-4a8c4642a94d,Line 2 Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,ON,ONLINE,2026-08-06T09:48:00.000Z,2026-06-30T10:00:00.000Z,2026-08-06T09:48:00.000Z
7bb68f35-07b1-9833-0a95-312b35acaec6,Paint Shop Meter,c9fd1c37-c42b-7e45-7bc4-4a8c4642a94d,Line 2 Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,OFF,OFFLINE,2026-08-05T22:00:00.000Z,2026-07-01T10:00:00.000Z,2026-08-05T22:00:00.000Z
77d1f9a2-f1c3-5104-6e19-f489ad2a9353,Warehouse Main Meter,62168fe4-d2e4-e954-5314-679da6d4053c,Warehouse Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,ON,ONLINE,2026-08-06T09:45:00.000Z,2026-06-22T10:00:00.000Z,2026-08-06T09:45:00.000Z
e1d0b3f2-d71e-18f3-fd40-218b43949ab9,Cold Storage Meter,62168fe4-d2e4-e954-5314-679da6d4053c,Warehouse Gateway,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e2348779-b7b7-c6e9-8b5c-9aff404ecee9,Plant Power Meter,ON,ONLINE,2026-08-06T09:52:48.000Z,2026-06-23T10:00:00.000Z,2026-08-06T09:52:48.000Z
