id,organizationId,organizationName,deviceId,deviceName,deviceConfigSlaveId,variableName,slaveName,totalUnit,tariff,startDate,endDate,computedAt
64adb7c4-c99d-718d-fa96-11ac589ebccc,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,13.93,445.39,2026-08-05T00:00:00.000Z,2026-08-06T00:00:00.000Z,2026-08-05T12:00:00.000Z
4597c4d6-e3a5-691e-0241-01f04e753066,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,17.61,562.16,2026-08-04T00:00:00.000Z,2026-08-05T00:00:00.000Z,2026-08-04T12:00:00.000Z
adde9cca-e6a2-391b-a694-e16c8d3353b9,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,15.39,479.69,2026-08-03T00:00:00.000Z,2026-08-04T00:00:00.000Z,2026-08-03T12:00:00.000Z
39fe87e1-9eef-e684-070b-db41d8285fe5,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,15.32,446.75,2026-08-02T00:00:00.000Z,2026-08-03T00:00:00.000Z,2026-08-02T12:00:00.000Z
be5de3db-8cf8-0622-8b27-72e50829973d,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,14.97,441.97,2026-08-01T00:00:00.000Z,2026-08-02T00:00:00.000Z,2026-08-01T12:00:00.000Z
b917c27d-bc5f-9a55-8c41-808e853a3c19,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,14.25,436.42,2026-07-31T00:00:00.000Z,2026-08-01T00:00:00.000Z,2026-07-31T12:00:00.000Z
a10aa9a4-c58b-c790-07b5-baa6f3b3c56e,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,PowerConsumption,Main Meter,14.37,431.22,2026-07-30T00:00:00.000Z,2026-07-31T00:00:00.000Z,2026-07-30T12:00:00.000Z
3db2089e-bf7b-e247-97e7-14bf530aaf39,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,76a4280b-3245-06b3-a5b2-4aa080748037,PowerConsumption,Main Meter,17.99,552.41,2026-08-05T00:00:00.000Z,2026-08-06T00:00:00.000Z,2026-08-05T12:00:00.000Z
1023a8d2-971d-a402-707c-68dcc38482f1,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,76a4280b-3245-06b3-a5b2-4aa080748037,PowerConsumption,Main Meter,16.88,511.88,2026-08-04T00:00:00.000Z,2026-08-05T00:00:00.000Z,2026-08-04T12:00:00.000Z
27feb846-5b61-a5d7-1f98-1e70c2807ec3,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,76a4280b-3245-06b3-a5b2-4aa080748037,PowerConsumption,Main Meter,16.17,490.59,2026-08-03T00:00:00.000Z,2026-08-04T00:00:00.000Z,2026-08-03T12:00:00.000Z
