id,sensorReadingId,deviceId,deviceName,deviceConfigSlaveId,organizationId,organizationName,variableName,unit,value,timestamp
aa3c3a92-156a-27fe-6f7a-921bafb12172,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,V,228.82,2026-08-06T10:00:00.000Z
4e28d212-ebb1-947c-dfed-6408ed24d6aa,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageB,V,228.15,2026-08-06T10:00:00.000Z
9a6b1918-7eae-720b-4da9-abe6370a0391,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageC,V,230,2026-08-06T10:00:00.000Z
04a681ae-bcf5-e4fa-b7c7-8befc8de217f,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,CurrentA,A,22.36,2026-08-06T10:00:00.000Z
f64d1aa5-a577-906c-7891-d454d646e462,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ActivePower,kW,4.73,2026-08-06T10:00:00.000Z
75ed3bc4-2a68-fae3-2425-1b075e5ee658,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerFactor,ratio,0.85,2026-08-06T10:00:00.000Z
4bdbcb3b-dbc7-6675-734e-84aea30878ad,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerConsumption,kWh,8.7,2026-08-06T10:00:00.000Z
a14c1c0c-451a-04da-4365-9fadb0fc8d4c,c9d1c550-92e4-1a4a-32f1-f0d3bc790ad1,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,Frequency,Hz,49.95,2026-08-06T10:00:00.000Z
bbea5d31-14ba-28b3-b137-3537c6d47cf7,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,V,230.75,2026-08-06T09:00:00.000Z
eb2acedd-6b66-3231-b57b-ba3628fef930,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageB,V,229.24,2026-08-06T09:00:00.000Z
7e99bd2f-1a01-77b2-879a-cbda909d66fd,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageC,V,232.01,2026-08-06T09:00:00.000Z
a7acc19f-7608-cdc1-c31d-ff679fd943b1,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,CurrentA,A,24.77,2026-08-06T09:00:00.000Z
0498d12b-f7fd-450e-23b3-99b8887f89e5,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ActivePower,kW,5.22,2026-08-06T09:00:00.000Z
b941bc61-86e3-d719-53bc-c8c2efd73da6,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerFactor,ratio,0.86,2026-08-06T09:00:00.000Z
ffef0907-8d0d-4d1c-b8d1-81df35d8c65d,339b187d-0c9e-2691-4e10-00af248f33a7,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,abc01f7a-b4a4-4f0e-2e5f-4e77d29e1839,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerConsumption,kWh,8.78,2026-08-06T09:00:00.000Z
